Sl. No.,NAME OF THE COUNTRY,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA
1,AFGHANISTAN,45563,43380,342.5,1244.2
2,AUSTRALIA,16701,19729,116.1,294.2
3,AUSTRIA,6916,7745,166.5,144.5
4,AZERBAIJAN,8414,8600,0,0
5,BAHRAIN,127547,140955,228.3,2373.6
6,BANGLADESH,110269,114158,676.8,650.4
7,BELGIUM,465,237,8.8,2.2
8,BHUTAN,9651,9753,1.4,17
9,BURMA,12507,12482,1,30.8
10,CANADA,42723,44024,318.4,729.2
11,CHINA,90038,95033,3882.3,2211.9
12,EGYPT,4520,4966,8.5,93.3
13,ETHIOPIA,9856,12790,45.9,66.2
14,FINLAND,14155,16850,485.7,816.6
15,FRANCE,109178,116012,6082.5,4881.2
16,GEORGIA,0,0,0,0
17,GERMANY,160601,184316,12459.9,15330
18,HONG KONG,152138,176981,24307.3,13098.3
19,INDONESIA,4104,4386,3.8,73.2
20,IRAN,12678,11100,28.6,268.4
21,IRAQ,1967,1999,0,0
22,ISRAEL,3653,4391,108.9,244.5
23,ITALY,16582,18730,442.2,438
24,JAPAN,43173,51277,3174.4,2475.7
25,JORDAN,0,0,0,0
26,KAZAKHSTAN,13180,15323,5.5,177
27,KENYA,20084,23940,39,13.5
28,KOREA,36227,39645,1193.6,939.4
29,KUWAIT,117414,132409,1185.6,4912.8
30,KYRGYZSTAN,3206,3900,3.2,56.1
31,MALAYSIA,301938,315677,4316,5320
32,MALDIVES,31969,37927,7.9,474.7
33,MAURITIUS,23928,24864,72.2,654.4
34,NEPAL,119363,124339,147.2,362.5
35,NETHERLANDS,66161,76634,3537.5,3485.3
36,OMAN,373984,401851,558,5410.3
37,PAKISTAN,2122,3030,4.3,60.7
38,QATAR,348660,382367,16166.1,28409.6
39,REUNION,1695,2104,0.5,18.1
40,RUSSIA,55102,62477,75.3,1279
41,SAUDI ARABIA,388916,424112,2875.5,14869.6
42,SEYCHELLES,7740,7842,1.3,18.6
43,SINGAPORE,436300,495624,13649.9,16280.8
44,SOUTH AFRICA,0,0,0,0
45,SPAIN,5939,6211,27.3,290.4
46,SRI LANKA,232234,234260,2456.7,4599.4
47,SWITZERLAND,30884,39354,2403.2,2771.3
48,TAIWAN,8430,9342,796.1,297.7
49,TAJIKISTAN,1110,1172,2.4,42.7
50,THAILAND,402740,408134,10857.9,7897.5
51,TURKEY,55231,64228,2591.2,3213.4
52,TURKMENISTAN,11531,11182,0,47.6
53,UNITED ARAB EMIRATES,2232638,2480816,22876.4,67074.1
54,UNITED KINGDOM,311543,337464,13194.9,19492.1
55,UNITED STATES,120375,142848,1666.3,2412.2
56,UZBEKISTAN,12585,14158,949.6,1360.3
57,VIETNAM,0,0,0,0
58,YEMEN,1676,1543,0,14.4
TOTAL,TOTAL,6778304,7424671,154620.9**,238546.2**
